iter	Passed	Remaining
1244	5130	1462
1245	5133	1458
1246	5138	1454
1247	5142	1450
1248	5146	1446
1249	5150	1442
1250	5154	1437
1251	5158	1433
1252	5162	1429
1253	5166	1425
1254	5170	1421
1255	5174	1417
1256	5178	1413
1257	5182	1408
1258	5185	1404
1259	5190	1400
1260	5193	1396
1261	5198	1392
1262	5201	1387
1263	5205	1383
1264	5210	1379
1265	5213	1375
1266	5217	1371
1267	5221	1367
1268	5225	1363
1269	5231	1359
1270	5235	1355
1271	5239	1350
1272	5243	1346
1273	5247	1342
1274	5251	1338
1275	5255	1334
1276	5258	1330
1277	5262	1326
1278	5266	1321
1279	5270	1317
1280	5274	1313
1281	5278	1309
1282	5283	1305
1283	5287	1301
1284	5291	1297
1285	5295	1292
1286	5299	1288
1287	5303	1284
1288	5306	1280
1289	5310	1276
1290	5314	1272
1291	5318	1267
1292	5322	1263
1293	5326	1259
1294	5330	1255
1295	5334	1251
1296	5342	1248
1297	5347	1244
1298	5351	1240
1299	5355	1235
1300	5360	1231
1301	5364	1227
1302	5368	1223
1303	5372	1219
1304	5376	1215
1305	5379	1211
1306	5383	1206
1307	5387	1202
1308	5391	1198
1309	5395	1194
1310	5400	1190
1311	5404	1186
1312	5408	1182
1313	5411	1177
1314	5415	1173
1315	5419	1169
1316	5423	1165
1317	5428	1161
1318	5432	1157
1319	5436	1153
1320	5440	1149
1321	5444	1144
1322	5449	1140
1323	5453	1136
1324	5457	1132
1325	5461	1128
1326	5465	1124
1327	5469	1120
1328	5472	1116
1329	5476	1111
1330	5480	1107
1331	5484	1103
1332	5488	1099
1333	5492	1095
1334	5496	1091
1335	5500	1086
1336	5504	1082
1337	5508	1078
1338	5512	1074
1339	5515	1070
1340	5519	1066
1341	5523	1061
1342	5527	1057
1343	5531	1053
1344	5535	1049
1345	5539	1045
1346	5543	1041
1347	5547	1037
1348	5551	1032
1349	5555	1028
1350	5559	1024
1351	5563	1020
1352	5567	1016
1353	5570	1012
1354	5574	1007
1355	5578	1003
1356	5582	999
1357	5586	995
1358	5590	991
1359	5593	987
1360	5597	982
1361	5601	978
1362	5605	974
1363	5609	970
1364	5612	966
1365	5617	962
1366	5622	958
1367	5625	954
1368	5634	950
1369	5638	946
1370	5643	942
1371	5647	938
1372	5651	934
1373	5655	930
1374	5659	926
1375	5663	921
1376	5667	917
1377	5671	913
1378	5674	909
1379	5678	905
1380	5682	901
1381	5686	897
1382	5690	892
1383	5694	888
1384	5698	884
1385	5702	880
1386	5705	876
1387	5709	872
1388	5713	867
1389	5717	863
1390	5721	859
1391	5725	855
1392	5729	851
1393	5732	847
1394	5736	843
1395	5740	838
1396	5744	834
1397	5748	830
1398	5752	826
1399	5756	822
1400	5760	818
1401	5764	814
1402	5767	809
1403	5771	805
1404	5775	801
1405	5779	797
1406	5783	793
1407	5787	789
1408	5790	785
1409	5794	780
1410	5798	776
1411	5802	772
1412	5805	768
1413	5810	764
1414	5814	760
1415	5818	756
1416	5822	751
1417	5825	747
1418	5829	743
1419	5833	739
1420	5837	735
1421	5841	731
1422	5845	727
1423	5849	722
1424	5852	718
1425	5856	714
1426	5860	710
1427	5864	706
1428	5867	702
1429	5871	698
1430	5875	693
1431	5879	689
1432	5883	685
1433	5887	681
1434	5890	677
1435	5894	673
1436	5898	669
1437	5902	664
1438	5906	660
1439	5913	657
1440	5918	653
1441	5923	649
1442	5927	644
1443	5931	640
1444	5935	636
1445	5939	632
1446	5943	628
1447	5946	624
1448	5950	620
1449	5954	615
1450	5958	611
1451	5965	608
1452	5970	604
1453	5975	599
1454	5979	595
1455	5982	591
1456	5986	587
1457	5990	583
1458	5994	579
1459	5998	575
1460	6003	571
1461	6007	567
1462	6011	562
1463	6014	558
1464	6018	554
1465	6022	550
1466	6026	546
1467	6030	542
1468	6034	538
1469	6038	533
1470	6042	529
1471	6045	525
1472	6049	521
1473	6053	517
1474	6057	513
1475	6062	509
1476	6065	505
1477	6069	501
1478	6073	496
1479	6077	492
1480	6081	488
1481	6085	484
1482	6089	480
1483	6093	476
1484	6097	472
1485	6101	468
1486	6105	463
1487	6109	459
1488	6113	455
1489	6117	451
1490	6121	447
1491	6125	443
1492	6129	439
1493	6133	435
1494	6137	431
1495	6141	426
1496	6146	422
1497	6150	418
1498	6154	414
1499	6158	410
1500	6162	406
1501	6166	402
1502	6170	398
1503	6174	394
1504	6178	390
1505	6182	385
1506	6186	381
1507	6190	377
1508	6195	373
1509	6204	369
1510	6208	365
1511	6212	361
1512	6216	357
1513	6220	353
1514	6225	349
1515	6229	345
1516	6233	341
1517	6237	336
1518	6241	332
1519	6246	328
1520	6250	324
1521	6254	320
1522	6258	316
1523	6262	312
1524	6266	308
1525	6270	304
1526	6274	299
1527	6278	295
1528	6282	291
1529	6286	287
1530	6290	283
1531	6294	279
1532	6298	275
1533	6302	271
1534	6305	267
1535	6309	262
1536	6313	258
1537	6317	254
1538	6321	250
1539	6325	246
1540	6329	242
1541	6333	238
1542	6337	234
1543	6341	229
1544	6345	225
1545	6349	221
1546	6353	217
1547	6356	213
1548	6360	209
1549	6364	205
1550	6368	201
1551	6372	197
1552	6376	192
1553	6379	188
1554	6383	184
1555	6389	180
1556	6394	176
1557	6398	172
1558	6402	168
1559	6406	164
1560	6410	160
1561	6413	156
1562	6417	151
1563	6421	147
1564	6424	143
1565	6429	139
1566	6432	135
1567	6436	131
1568	6440	127
1569	6444	123
1570	6448	119
1571	6451	114
1572	6455	110
1573	6459	106
1574	6463	102
1575	6467	98
1576	6471	94
1577	6476	90
1578	6483	86
1579	6487	82
1580	6491	78
1581	6496	73
1582	6499	69
1583	6503	65
